section,url,pub_date,headline,headline_len,word_count,num_links,num_images,num_ads_est,images
sports,https://www.thebaltimorebanner.com/sports/orioles-mlb/orioles-tigers-doubleheader-sweep-KCH4GN53QVCDXG55X35HFSYZVI/,2025-04-26T21:20:00,Orioles follow similar script in losing both games of doubleheader at Detroit,12,1109,1,0,5,[]
sports,https://www.thebaltimorebanner.com/sports/orioles-mlb/orioles-tigers-series-sweep-tarik-skubal-6DHKWMTUG5GY3KQVT2F7VSYB7Y/,2025-04-27T16:15:00,Orioles’ free fall continues with 7-0 loss as Tigers sweep series,11,960,0,1,5,"[{""src"": ""//www.thebaltimorebanner.com/resizer/v2/BY3BXZ4TUJEJHNH4A26LAKGTII.jpg?auth=6887f7cc0beefb49f46cd2e55d200013f41cf535219c2bef2e00105fb18a15f3&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}]"
sports,https://www.thebaltimorebanner.com/sports/orioles-mlb/tyler-oneill-orioles-injury-list-BEVQDMU7V5AMLLDHFVSGTZKO5A/,2025-04-26T12:33:00,Orioles outfielder Tyler O’Neill hits 10-day injured list with neck inflammation,11,578,0,0,4,[]
sports,https://www.thebaltimorebanner.com/sports/ravens-nfl/baltimore-ravens-2025-nfl-draft-tyler-loop-justin-tucker-YNPJW4BGSFDOHGJHJSTFG7743E/,2025-04-26T16:47:00,Ravens draft kicker Tyler Loop in 6th round as Justin Tucker investigation continues,13,873,4,0,6,[]
sports,https://www.thebaltimorebanner.com/sports/ravens-nfl/ravens-draft-malaki-starks-safety-nfl-georgia-kyle-hamilton-3A7QBEVGKNBSZMPWLT6ZTLQEWA/,2025-04-27T05:30:00,Inside Malaki Starks’ ‘appealing’ talent: Here’s what first-round pick can do for Ravens’ defense,14,1491,3,0,5,[]
sports,https://www.thebaltimorebanner.com/sports/ravens-nfl/ravens-draft-what-we-learned-malaki-starks-56EVKH4PEVCBLESYDS55OWBPPU/,2025-04-27T05:30:00,5 things we learned from the Ravens’ draft,8,2152,3,2,7,"[{""src"": ""//www.thebaltimorebanner.com/resizer/v2/4N6WZBUDD5HK5DLNSCOQ65IFJY.jpg?auth=f4b2841ead0c9e3919403196fbc3f0505d1f852e9989b4fb33aaf74572222e59&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/UZGVUTFC7VE6RJNFJZKTGY77CI.jpg?auth=1bdf95c756863f1dc003f384d40087f686ca0b0ac39104869e2bd22a99ec790d&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}]"
sports,https://www.thebaltimorebanner.com/sports/ravens-nfl/ravens-nfl-draft-mark-andrews-first-round-pick-eric-decosta-lamar-jackson-EQYU6TTHYZFYHOMCHGWXJUOH3E/,2025-04-24T05:30:00,Ravens reset: Trading Mark Andrews? Prioritizing an edge defender? Answering 5 big NFL draft questions.,15,1672,10,5,4,"[{""src"": ""//www.thebaltimorebanner.com/resizer/v2/IPYQBTWMGBBDRLTFFCMIGRZQWM.jpg?auth=7674383c4bc21cd683ad89da9e84a30cba053dbca01ea550812de08c15cc9d5a&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/UZGVUTFC7VE6RJNFJZKTGY77CI.jpg?auth=1bdf95c756863f1dc003f384d40087f686ca0b0ac39104869e2bd22a99ec790d&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/M57Y6DO775FARNKLGMTGIE6AC4.jpg?auth=61554b4b2e6cd21dce2385d1b3e448dc83015abc35a4a3c9f0b399640a7ec47c&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/DXJTFGN2DNEBFPI6DJN6Y64U4A.jpg?auth=2021e96372f66b5480bb69e9cc888f9b4f433b926d423916fe26ea3f2fc57e56&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}, {""src"": ""//www.thebaltimorebanner.com/resizer/v2/GWBSENORGRGHDG2UU223CUYO3Q.jpg?auth=54dbedc7fc604c7989e3ae0049cbcbdcd5d291f8616bd29fa0821b50f743cd99&quality=85&width=1024&smart=true"", ""width"": null, ""height"": null}]"
sports,https://www.thebaltimorebanner.com/sports/ravens-nfl/ravens-podcast-draft-green-jones-CIYSREWWIBCYPGQQYQHI6OKICQ/,2025-04-25T23:24:00,"Breaking down Mike Green, Emery Jones Jr. selections | Banner Ravens Podcast",12,47,0,0,1,[]
education,https://www.thebaltimorebanner.com/education/early-childhood/maryland-child-care-scholarship-HKSW47FKVBHZHMXGC3ZM5JO54M/,2025-04-16T05:30:00,How to get a Maryland child care scholarship before they’re gone,11,787,6,0,5,[]
education,https://www.thebaltimorebanner.com/education/higher-education/international-students-legal-challenges-visa-revocations-KBOK2PSQOZFWXLF6SGXOUBJPC4/,2025-04-15T08:42:00,International students file legal challenges over widespread US visa revocations,10,842,4,0,5,[]
